code,label
BL000000,Belgium and Luxemburg
BG000000,Bulgaria
CZ000000,Czech Republic
DK000000,Denmark
DE000000,Germany
EE000000,Estonia
IR000000,Ireland
EL000000,Greece
ES000000,Spain
FR000000,France
HR000000,Croatia
IT000000,Italy
CY000000,Cyprus
LV000000,Latvia
LT000000,Lithuania
HU000000,Hungary
MT000000,Malta
NL000000,Netherlands
AT000000,Austria
PL000000,Poland
PT000000,Portugal
RO000000,Romania
SI000000,Slovenia
SK000000,Slovak Republic
FI000000,Finland
SE000000,Sweden
UK000000,United Kingdom
EU028000,EU-28
EU015000,EU-15
EU013000,EU-13
